id_cliente,segmento_pyme,volumen_envios_mes,gasto_mensual,fecha_ultimo_despacho,fecha_ultima_entrega,dias_retraso_promedio,target_fuga
C-2001,Pyme-C,68,892.54,2026-01-08,2026-01-09,0.6,0
C-2002,Pyme-C,66,3303.79,2026-01-03,2026-01-07,1.8,0
C-2003,Pyme-B,48,910.25,2026-01-17,2026-01-20,0.4,0
C-2004,Pyme-A,183,1535.7,2026-01-18,2026-01-21,1.3,0
C-2005,Pyme-A,154,2980.28,2026-01-01,2026-01-03,1.6,0
C-2006,Pyme-C,148,2058.93,2026-01-31,2026-02-02,0.3,0
C-2007,Pyme-A,63,2205.73,2026-01-12,2026-01-15,0.7,0
C-2008,Pyme-B,246,960.77,2026-01-04,2026-01-06,0.9,0
C-2009,Pyme-A,181,1884.76,2026-01-29,2026-02-01,1.3,0
C-2010,Pyme-C,89,3406.92,2026-01-08,2026-01-10,0.1,0
C-2011,Pyme-A,99,4005.99,2026-01-15,2026-01-18,0.8,0
C-2012,Pyme-B,81,2169.67,2026-01-09,2026-01-06,-1.0,0
C-2013,Pyme-C,202,1433.21,2026-01-06,2026-01-09,1.5,0
C-2014,Pyme-B,109,4461.24,2026-01-18,2026-01-20,1.3,0
C-2015,Pyme-C,123,99999.0,2026-01-08,,,0
C-2016,Pyme-A,246,1967.18,2026-01-07,2026-01-10,0.5,0
C-2017,Pyme-C,120,1586.72,2026-01-29,2026-02-01,1.0,0
C-2018,Pyme-B,76,1780.06,2026-01-18,2026-01-21,0.5,0
C-2019,Pyme-B,231,2962.97,2026-01-13,2026-01-16,1.8,0
C-2020,Pyme-A,75,2685.25,2026-01-02,2026-01-03,0.2,0
C-2021,Pyme-A,200,1391.93,2026-01-20,2026-01-22,1.4,0
C-2022,Pyme-B,137,-75.14,2026-01-18,,,0
C-2023,Pyme-A,214,3466.67,2026-01-18,2026-01-21,1.4,0
C-2024,Pyme-C,127,1212.74,2026-01-15,2026-01-14,-3.0,0
C-2025,Pyme-C,235,1461.01,2026-01-28,2026-02-01,1.8,0
C-2026,Pyme-B,203,2678.35,2026-01-12,2026-01-13,0.4,0
C-2027,Pyme-C,239,4213.01,2026-01-20,2026-01-23,1.8,0
C-2028,Pyme-B,2,77.97,2026-01-27,2026-02-04,6.2,1
C-2029,Pyme-A,54,1691.22,2026-01-03,2026-01-05,1.1,0
C-2030,Pyme-C,164,99999.0,2026-01-18,,,0
C-2031,Pyme-A,72,3241.08,2026-01-06,2026-01-09,1.9,0
C-2032,Pyme-C,195,2365.61,2026-01-18,2026-01-21,0.4,0
C-2033,Pyme-C,91,3437.91,2026-01-22,2026-01-25,0.8,0
C-2034,Pyme-B,152,4128.57,2026-01-08,2026-01-09,0.9,0
C-2035,Pyme-A,126,877.83,2026-01-19,2026-01-21,1.1,0
C-2036,Pyme-A,58,3419.01,2026-01-03,2026-01-02,-3.0,0
C-2037,Pyme-A,171,1680.62,2026-01-07,2026-01-11,1.3,0
C-2038,Pyme-A,225,4261.4,2026-01-16,2026-01-18,1.1,0
C-2039,Pyme-B,246,2306.12,2026-01-22,2026-01-24,0.2,0
C-2040,Pyme-B,148,2321.08,2026-01-02,2026-01-06,1.7,0
C-2041,Pyme-C,205,1164.15,2026-01-11,2026-01-12,0.8,0
C-2042,Pyme-A,89,1503.77,2026-01-14,2026-01-15,0.9,0
C-2043,Pyme-B,158,1724.28,2026-01-15,2026-01-19,1.8,0
C-2044,Pyme-A,52,-51.48,2026-01-03,,,0
C-2045,Pyme-A,82,99999.0,2026-01-28,,,0
C-2046,Pyme-B,55,1409.16,2026-01-13,2026-01-15,0.0,0
C-2047,Pyme-B,113,2365.13,2026-01-26,2026-01-30,1.9,0
C-2048,Pyme-C,223,2600.68,2026-01-07,2026-01-06,-1.0,0
C-2049,Pyme-C,120,1011.51,2026-01-17,2026-01-21,1.2,0
C-2050,Pyme-A,54,4354.88,2026-01-06,2026-01-07,0.2,0
C-2051,Pyme-C,57,3298.29,2026-01-04,2026-01-07,0.5,0
C-2052,Pyme-A,188,2999.72,2026-01-14,2026-01-18,1.2,0
C-2053,Pyme-C,184,2734.3,2026-01-07,2026-01-11,1.9,0
C-2054,Pyme-C,120,1683.14,2026-01-22,2026-01-25,0.8,0
C-2055,Pyme-B,157,1969.86,2026-01-03,2026-01-05,1.5,0
C-2056,Pyme-B,11,299.61,2026-01-03,2026-01-15,10.0,1
C-2057,Pyme-A,169,1781.24,2026-01-29,2026-01-31,1.9,0
C-2058,Pyme-A,134,1854.45,2026-01-18,2026-01-21,0.9,0
C-2059,Pyme-B,196,4440.26,2026-01-17,2026-01-19,1.6,0
C-2060,Pyme-C,249,99999.0,2026-01-04,2026-01-03,-3.0,0
C-2061,Pyme-A,67,3546.94,2026-01-10,2026-01-13,0.3,0
C-2062,Pyme-A,223,2068.66,2026-01-28,2026-01-31,1.4,0
C-2063,Pyme-C,165,1729.15,2026-01-02,2026-01-04,1.8,0
C-2064,Pyme-C,148,3868.59,2026-01-11,2026-01-12,0.1,0
C-2065,Pyme-C,107,1397.85,2026-01-23,2026-01-25,0.9,0
C-2066,Pyme-C,42,-119.1,2026-01-05,,,0
C-2067,Pyme-C,49,3888.0,2026-01-05,2026-01-08,1.2,0
C-2068,Pyme-A,50,1940.56,2026-01-26,2026-01-28,1.8,0
C-2069,Pyme-B,93,3323.65,2026-01-12,2026-01-16,1.3,0
C-2070,Pyme-B,198,3573.07,2026-01-08,2026-01-10,1.9,0
C-2071,Pyme-A,145,891.71,2026-01-11,2026-01-14,1.5,0
C-2072,Pyme-C,228,3799.77,2026-01-26,2026-01-23,-1.0,0
C-2073,Pyme-B,49,3976.8,2026-01-27,2026-01-29,0.4,0
C-2074,Pyme-B,118,3835.98,2026-01-08,2026-01-10,1.7,0
C-2075,Pyme-C,89,99999.0,2026-01-03,,,0
C-2076,Pyme-B,129,3173.48,2026-01-27,2026-01-30,0.8,0
C-2077,Pyme-B,47,1226.76,2026-01-06,2026-01-10,1.9,0
C-2078,Pyme-B,49,1201.09,2026-01-24,2026-01-26,0.9,0
C-2079,Pyme-B,195,4441.67,2026-01-29,2026-02-01,0.2,0
C-2080,Pyme-A,105,964.23,2026-01-17,2026-01-20,0.9,0
C-2081,Pyme-C,224,4278.97,2026-01-07,2026-01-10,1.5,0
C-2082,Pyme-B,57,4310.84,2026-01-20,2026-01-23,1.8,0
C-2083,Pyme-C,71,3463.09,2026-01-10,2026-01-13,0.6,0
C-2084,Pyme-B,7,150.6,2026-01-05,2026-01-04,-4.0,1
C-2085,Pyme-C,137,3306.08,2026-01-20,2026-01-24,1.8,0
C-2086,Pyme-B,143,2827.37,2026-01-10,2026-01-11,0.0,0
C-2087,Pyme-B,241,2945.94,2026-01-15,2026-01-18,1.3,0
C-2088,Pyme-B,212,-140.12,2026-01-26,,,0
C-2089,Pyme-C,83,3237.75,2026-01-22,2026-01-25,0.6,0
C-2090,Pyme-C,125,99999.0,2026-01-08,,,0
C-2091,Pyme-C,119,1631.17,2026-01-01,2026-01-02,0.4,0
C-2092,Pyme-A,161,3061.71,2026-01-15,2026-01-18,1.5,0
C-2093,Pyme-C,187,1519.41,2026-01-16,2026-01-19,1.4,0
C-2094,Pyme-A,77,3227.41,2026-01-25,2026-01-26,0.0,0
C-2095,Pyme-B,96,1450.78,2026-01-17,2026-01-20,1.9,0
C-2096,Pyme-A,182,1722.03,2026-01-15,2026-01-14,-4.0,0
C-2097,Pyme-C,175,4455.2,2026-01-31,2026-02-03,1.2,0
C-2098,Pyme-C,248,3461.31,2026-01-27,2026-01-31,1.0,0
C-2099,Pyme-B,80,3551.53,2026-01-09,2026-01-10,0.9,0
C-2100,Pyme-C,110,3633.51,2026-01-21,2026-01-23,1.0,0
C-2101,Pyme-B,152,1086.69,2026-01-09,2026-01-11,0.6,0
C-2102,Pyme-B,178,1098.14,2026-01-13,2026-01-16,0.3,0
C-2103,Pyme-A,220,1591.63,2026-01-11,2026-01-14,0.8,0
C-2104,Pyme-B,146,1030.38,2026-01-13,2026-01-17,1.7,0
C-2105,Pyme-C,45,99999.0,2026-01-13,,,0
C-2106,Pyme-B,41,4288.14,2026-01-13,2026-01-15,0.6,0
C-2107,Pyme-C,231,3518.15,2026-01-29,2026-01-31,1.6,0
C-2108,Pyme-B,96,1809.86,2026-01-13,2026-01-11,-4.0,0
C-2109,Pyme-C,82,3909.87,2026-01-20,2026-01-24,1.8,0
C-2110,Pyme-A,140,-58.39,2026-01-14,,,0
C-2111,Pyme-A,158,1472.4,2026-01-11,2026-01-12,0.5,0
C-2112,Pyme-B,7,134.38,2026-01-09,2026-01-20,9.3,1
C-2113,Pyme-B,60,2540.14,2026-01-02,2026-01-05,1.5,0
C-2114,Pyme-A,206,1053.89,2026-01-02,2026-01-04,1.9,0
C-2115,Pyme-A,91,3905.15,2026-01-08,2026-01-10,1.2,0
C-2116,Pyme-B,211,1223.24,2026-01-15,2026-01-19,1.9,0
C-2117,Pyme-B,236,2164.91,2026-01-31,2026-02-04,1.2,0
C-2118,Pyme-C,69,3677.83,2026-01-10,2026-01-11,0.3,0
C-2119,Pyme-C,46,4236.88,2026-01-30,2026-02-02,1.2,0
C-2120,Pyme-B,223,99999.0,2026-01-27,2026-01-24,-2.0,0
C-2121,Pyme-A,218,3658.18,2026-01-20,2026-01-22,1.7,0
C-2122,Pyme-C,240,951.96,2026-01-22,2026-01-25,1.1,0
C-2123,Pyme-A,169,3195.91,2026-01-14,2026-01-16,0.0,0
C-2124,Pyme-A,150,4354.91,2026-01-27,2026-01-30,1.3,0
C-2125,Pyme-C,79,2411.3,2026-01-31,2026-02-04,1.5,0
C-2126,Pyme-B,197,3790.34,2026-01-16,2026-01-19,1.1,0
C-2127,Pyme-B,227,2992.16,2026-01-08,2026-01-09,0.6,0
C-2128,Pyme-B,155,1702.29,2026-01-20,2026-01-23,0.9,0
C-2129,Pyme-B,126,906.19,2026-01-06,2026-01-09,1.7,0
C-2130,Pyme-A,130,3751.98,2026-01-29,2026-02-01,0.7,0
C-2131,Pyme-C,110,2856.43,2026-01-07,2026-01-09,1.0,0
C-2132,Pyme-A,224,-74.03,2026-01-16,2026-01-13,-4.0,0
C-2133,Pyme-B,242,863.8,2026-01-13,2026-01-16,0.6,0
C-2134,Pyme-A,118,3256.65,2026-01-18,2026-01-21,0.7,0
C-2135,Pyme-B,148,99999.0,2026-01-12,,,0
C-2136,Pyme-C,156,1802.39,2026-01-04,2026-01-07,0.5,0
C-2137,Pyme-A,120,1242.35,2026-01-25,2026-01-29,1.1,0
C-2138,Pyme-A,89,1600.62,2026-01-24,2026-01-27,1.0,0
C-2139,Pyme-C,192,1847.1,2026-01-07,2026-01-09,0.2,0
C-2140,Pyme-A,7,94.86,2026-01-18,2026-01-23,4.1,1
C-2141,Pyme-B,51,4404.89,2026-01-23,2026-01-25,1.1,0
C-2142,Pyme-C,232,2616.25,2026-01-19,2026-01-22,1.7,0
C-2143,Pyme-B,162,2429.73,2026-01-02,2026-01-04,0.4,0
C-2144,Pyme-B,69,3841.83,2026-01-03,2025-12-31,-1.0,0
C-2145,Pyme-A,78,3801.23,2026-01-03,2026-01-05,1.9,0
C-2146,Pyme-A,182,3628.44,2026-01-26,2026-01-30,1.2,0
C-2147,Pyme-A,238,2733.52,2026-01-15,2026-01-17,0.9,0
C-2148,Pyme-C,149,1929.91,2026-01-20,2026-01-24,1.2,0
C-2149,Pyme-A,235,1568.82,2026-01-22,2026-01-23,0.4,0
C-2150,Pyme-A,101,99999.0,2026-01-01,,,0
C-2151,Pyme-B,155,3350.67,2026-01-02,2026-01-03,0.9,0
C-2152,Pyme-B,220,1846.06,2026-01-03,2026-01-07,1.7,0
C-2153,Pyme-A,107,3714.96,2026-01-22,2026-01-24,1.3,0
C-2154,Pyme-B,69,-140.84,2026-01-27,,,0
C-2155,Pyme-A,58,1020.66,2026-01-20,2026-01-24,1.6,0
C-2156,Pyme-C,113,2424.87,2026-01-10,2026-01-07,-4.0,0
C-2157,Pyme-B,168,2797.93,2026-01-20,2026-01-21,0.9,0
C-2158,Pyme-B,228,1992.59,2026-01-03,2026-01-04,0.5,0
C-2159,Pyme-C,187,2972.35,2026-01-25,2026-01-28,0.0,0
C-2160,Pyme-B,187,948.86,2026-01-16,2026-01-20,1.5,0
C-2161,Pyme-C,153,4189.47,2026-01-19,2026-01-21,0.4,0
C-2162,Pyme-C,248,2619.39,2026-01-12,2026-01-14,0.2,0
C-2163,Pyme-B,122,3279.49,2026-01-11,2026-01-14,1.7,0
C-2164,Pyme-C,166,1866.41,2026-01-27,2026-01-31,1.9,0
C-2165,Pyme-A,156,99999.0,2026-01-04,,,0
C-2166,Pyme-B,171,3852.23,2026-01-28,2026-01-31,0.0,0
C-2167,Pyme-B,145,1000.56,2026-01-20,2026-01-23,1.0,0
C-2168,Pyme-C,9,240.0,2026-01-18,2026-01-17,-3.0,1
C-2169,Pyme-B,218,2593.43,2026-01-21,2026-01-24,0.1,0
C-2170,Pyme-A,221,1386.0,2026-01-18,2026-01-21,1.1,0
C-2171,Pyme-A,97,4471.35,2026-01-15,2026-01-17,1.8,0
C-2172,Pyme-C,79,2643.99,2026-01-17,2026-01-21,1.4,0
C-2173,Pyme-B,146,3888.48,2026-01-08,2026-01-11,2.0,0
C-2174,Pyme-C,77,2219.27,2026-01-17,2026-01-21,1.8,0
C-2175,Pyme-A,57,1822.12,2026-01-14,2026-01-17,1.6,0
C-2176,Pyme-C,108,-79.86,2026-01-19,,,0
C-2177,Pyme-C,208,2611.67,2026-01-18,2026-01-20,0.3,0
C-2178,Pyme-B,125,2842.09,2026-01-15,2026-01-18,1.1,0
C-2179,Pyme-A,218,1683.58,2026-01-28,2026-01-30,0.8,0
C-2180,Pyme-A,121,99999.0,2026-01-26,2026-01-24,-4.0,0
C-2181,Pyme-C,242,3836.77,2026-01-16,2026-01-18,2.0,0
C-2182,Pyme-A,168,4371.81,2026-01-04,2026-01-06,0.7,0
C-2183,Pyme-A,174,4168.63,2026-01-05,2026-01-07,0.0,0
C-2184,Pyme-C,79,1076.86,2026-01-09,2026-01-12,1.6,0
C-2185,Pyme-C,217,2270.69,2026-01-11,2026-01-14,0.2,0
