signup_date,last_purchase_date,monthly_spend,total_shipments,churn_label,customer_id_anonymous
2023-01-15,2025-12-05,450.5,12.0,0.0,C00000
2023-02-20,2025-05-10,1200.0,45.0,0.0,C00001
2023-04-12,2025-06-01,890.2,22.0,0.0,C00002
2023-05-30,2024-12-20,310.0,5.0,1.0,C00003
2023-06-21,2025-04-15,2500.0,,0.0,C00004
2023-07-02,,150.0,2.0,1.0,C00005
2023-03-05,2025-03-25,,8.0,1.0,C00006
2023-08-14,2025-05-28,,15.0,0.0,C00007
2023-09-01,2025-01-10,600.75,10.0,0.0,C00008
2023-11-01,2025-05-20,520.0,14.0,0.0,C00010
2023-11-15,2025-06-15,850.0,30.0,0.0,C00011
2023-12-01,2025-01-10,,5.0,1.0,C00012
2024-01-05,2025-05-05,120.0,2.0,1.0,C00013
2024-01-20,2025-06-02,950.0,40.0,0.0,C00014
2024-02-10,2025-04-12,300.0,,0.0,C00015
2024-02-28,2025-05-28,410.0,18.0,0.0,C00016
2024-03-12,2025-03-15,1500.0,60.0,0.0,C00017
2024-03-25,2025-05-30,2200.0,85.0,0.0,C00018
2024-04-05,2025-05-06,,1.0,1.0,C00019
2024-04-15,2025-02-10,340.0,8.0,1.0,C00020
2024-12-05,2025-06-01,720.0,25.0,0.0,C00021
2024-05-20,2025-05-20,,50.0,0.0,C00022
2024-06-01,2025-01-05,200.0,4.0,1.0,C00023
2024-06-15,2025-06-10,615.0,19.0,0.0,C00024
2024-07-01,2025-01-05,,12.0,0.0,C00025
2024-07-10,2025-05-25,480.0,20.0,0.0,C00026
2024-07-25,2025-03-25,310.0,6.0,1.0,C00027
2024-08-05,2025-04-20,10.0,1.0,1.0,C00028
2024-08-15,2025-06-01,1300.0,48.0,0.0,C00029
2024-09-01,2025-01-01,,10.0,1.0,C00030
2024-09-15,2025-06-12,750.0,28.0,0.0,C00031
2024-10-01,2025-05-18,620.0,22.0,0.0,C00032
2024-10-15,2025-06-15,900.0,35.0,0.0,C00033
2024-11-01,2025-04-30,,12.0,0.0,C00034
2024-11-15,2025-05-22,540.0,16.0,0.0,C00035
2024-12-01,2025-01-06,1100.0,42.0,0.0,C00036
2024-12-15,2025-02-14,400.0,10.0,1.0,C00037
2025-01-05,2025-06-15,2500.0,90.0,0.0,C00038
2025-05-01,2025-05-10,320.0,7.0,1.0,C00039
2025-01-20,2025-06-20,880.0,32.0,0.0,C00040
2025-02-01,2025-05-28,450.0,15.0,0.0,C00041
2025-02-15,2025-06-10,310.0,8.0,1.0,C00042
2025-03-01,,700.0,24.0,0.0,C00043
2025-03-10,2025-10-06,,50.0,0.0,C00044
2025-03-20,2025-06-20,5000.0,150.0,0.0,C00045
2025-04-01,2025-05-15,420.0,18.0,0.0,C00046
2025-04-10,2025-10-06,3500.0,120.0,0.0,C00047
2025-04-20,2025-06-20,1800.0,55.0,0.0,C00048
2025-05-01,2025-06-05,290.0,5.0,1.0,C00049
2025-05-10,2025-10-06,1200.0,40.0,0.0,C00050
2023-01-01,2025-01-01,,0.0,1.0,C00051
2023-02-10,2024-12-20,400.0,12.0,1.0,C00052
2023-03-15,2025-06-20,10000.0,400.0,0.0,C00053
2023-04-01,2025-05-30,550.0,20.0,0.0,C00054
2023-05-10,2024-10-05,200.0,2.0,1.0,C00055
2023-06-01,2025-06-12,980.0,38.0,0.0,C00056
