customer_id_anonymous,monthly_spend,total_shipments,antiguedad_dias,dias_desde_ultima_compra,monthly_spend_is_null,churn_label
C00090,3800.0,130.0,797,184.0,0,0
C00067,3200.0,115.0,603,174.0,0,0
C00102,85.0,2.0,422,61.0,0,0
C00081,100.0,2.0,1056,707.0,0,1
C00083,950.0,35.0,1002,62.0,0,0
C00055,200.0,2.0,941,427.0,0,1
C00087,50.0,1.0,870,340.0,0,1
C00061,7000.0,200.0,747,169.0,0,0
C00076,3100.0,105.0,330,61.0,0,0
C00068,450.0,15.0,584,335.0,0,0
C00015,300.0,,665,238.0,0,0
C00065,2500.0,80.0,665,179.0,0,0
C00041,450.0,15.0,308,192.0,0,0
C00098,900.0,30.0,553,200.0,0,0
C00063,1200.0,40.0,691,205.0,0,0
C00108,,5.0,238,188.0,1,0
C00048,1800.0,55.0,230,169.0,0,0
C00018,2200.0,85.0,621,190.0,0,0
C00051,,0.0,1070,339.0,1,1
C00013,120.0,2.0,701,215.0,0,1
C00091,600.0,22.0,757,192.0,0,0
C00073,9500.0,350.0,407,169.0,0,0
C00078,4500.0,160.0,261,169.0,0,0
C00085,4200.0,140.0,921,190.0,0,0
C00089,,2.0,816,359.0,1,1
C00052,400.0,12.0,1030,351.0,0,1
C00088,,15.0,854,261.0,1,1
C00038,2500.0,90.0,335,174.0,0,0
C00082,800.0,30.0,1015,200.0,0,0
C00005,150.0,2.0,888,,0,1
C00109,850.0,30.0,200,169.0,0,0
C00096,210.0,5.0,590,371.0,0,1
C00011,850.0,30.0,752,174.0,0,0
C00050,1200.0,40.0,210,61.0,0,0
C00024,615.0,19.0,539,179.0,0,0
C00069,1100.0,38.0,534,188.0,0,0
C00040,880.0,32.0,320,169.0,0,0
C00060,850.0,32.0,788,188.0,0,0
C00021,720.0,25.0,366,188.0,0,0
C00006,,8.0,1007,256.0,1,1
C00043,700.0,24.0,280,,0,0
C00086,300.0,8.0,908,325.0,0,1
C00000,450.5,12.0,1056,1.0,0,0
C00075,1500.0,55.0,370,334.0,0,0
C00106,400.0,15.0,299,179.0,0,0
C00016,410.0,18.0,647,192.0,0,0
C00036,1100.0,42.0,370,334.0,0,0
C00093,10000.0,500.0,686,174.0,0,0
C00031,750.0,28.0,447,177.0,0,0
C00025,,12.0,523,335.0,1,0
C00026,480.0,20.0,514,195.0,0,0
C00012,,5.0,736,330.0,1,1
C00014,950.0,40.0,686,187.0,0,0
C00023,200.0,4.0,553,335.0,0,1
C00037,400.0,10.0,356,295.0,0,1
C00030,,10.0,461,339.0,1,1
C00059,3000.0,110.0,827,334.0,0,0
C00046,420.0,18.0,249,205.0,0,0
C00042,310.0,8.0,294,179.0,0,1
C00066,6000.0,180.0,645,334.0,0,0
C00099,500.0,18.0,509,174.0,0,0
C00064,5000.0,200.0,559,194.0,0,0
C00107,600.0,22.0,276,214.0,0,0
C00028,10.0,1.0,488,230.0,0,1
C00070,8000.0,250.0,509,174.0,0,0
C00004,2500.0,,899,235.0,0,0
C00094,750.0,25.0,670,210.0,0,0
C00007,,15.0,845,192.0,1,0
C00062,,90.0,732,214.0,1,0
C00053,10000.0,400.0,997,169.0,0,0
C00029,1300.0,48.0,478,188.0,0,0
C00045,5000.0,150.0,261,169.0,0,0
C00034,,12.0,400,220.0,1,0
C00010,520.0,14.0,766,200.0,0,0
C00019,,1.0,610,214.0,1,1
C00074,600.0,20.0,389,205.0,0,0
C00058,1100.0,45.0,844,205.0,0,0
C00092,,10.0,722,235.0,1,0
C00057,,0.0,889,339.0,1,1
C00008,600.75,10.0,827,330.0,0,0
C00054,550.0,20.0,980,190.0,0,0
